[ 2025-03-07 15:45:19,230 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-07 15:45:25,326 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-07 15:45:27,591 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-07 15:45:27,591 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-07 15:45:27,591 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-07 15:45:27,652 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-07 15:45:27,653 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-07 15:45:27,670 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-07 15:45:27,772 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 15:45:27,772 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 15:45:27,772 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 15:45:27,773 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 15:45:27,947 ] 28 root - INFO - data Validation Completed
[ 2025-03-07 15:45:27,949 ] 31 root - INFO - data Transformation started
[ 2025-03-07 15:45:27,949 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-07 15:45:27,949 ] 65 root - INFO - Starting data transformation
[ 2025-03-07 15:45:27,983 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-07 15:45:27,983 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-07 15:45:28,001 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:45:28,006 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:45:28,006 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:45:28,010 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:45:28,012 ] 35 root - INFO - data Transformation completed
[ 2025-03-07 15:45:28,012 ] 37 root - INFO - Model Training sstared
[ 2025-03-07 15:49:29,045 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:49:29,048 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:49:29,048 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:49:29,057 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:49:29,057 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_07_2025_15_45_19\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9905470635559132, precision_score=0.9865785256410257, recall_score=0.9945476575121163), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9762100082034455, precision_score=0.9651257096512571, recall_score=0.9875518672199171))
[ 2025-03-07 15:49:29,060 ] 42 root - INFO - Model Training artifact created
