[ 2025-03-07 15:33:31,140 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-07 15:33:39,743 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-07 15:33:42,155 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-07 15:33:42,155 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-07 15:33:42,156 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-07 15:33:42,217 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-07 15:33:42,218 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-07 15:33:42,224 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-07 15:33:42,317 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 15:33:42,317 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 15:33:42,317 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 15:33:42,317 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 15:33:42,483 ] 28 root - INFO - data Validation Completed
[ 2025-03-07 15:33:42,484 ] 31 root - INFO - data Transformation started
[ 2025-03-07 15:33:42,484 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-07 15:33:42,484 ] 65 root - INFO - Starting data transformation
[ 2025-03-07 15:33:42,518 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-07 15:33:42,518 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-07 15:33:42,546 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:33:42,551 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:33:42,551 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 15:33:42,555 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 15:33:42,557 ] 35 root - INFO - data Transformation completed
[ 2025-03-07 15:33:42,558 ] 37 root - INFO - Model Training sstared
