[ 2025-03-07 23:21:30,369 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-07 23:21:36,694 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-07 23:21:39,021 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-07 23:21:39,021 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-07 23:21:39,021 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-07 23:21:39,089 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-07 23:21:39,089 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-07 23:21:39,103 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-07 23:21:39,190 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 23:21:39,190 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 23:21:39,190 ] 32 root - INFO - Required number of columns:2
[ 2025-03-07 23:21:39,190 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-07 23:21:39,341 ] 28 root - INFO - data Validation Completed
[ 2025-03-07 23:21:39,342 ] 31 root - INFO - data Transformation started
[ 2025-03-07 23:21:39,342 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-07 23:21:39,342 ] 65 root - INFO - Starting data transformation
[ 2025-03-07 23:21:39,359 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-07 23:21:39,359 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-07 23:21:39,373 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 23:21:39,376 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 23:21:39,376 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 23:21:39,380 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 23:21:39,382 ] 35 root - INFO - data Transformation completed
[ 2025-03-07 23:21:39,382 ] 37 root - INFO - Model Training sstared
[ 2025-03-07 23:26:51,985 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 23:26:51,986 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 23:26:51,986 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-07 23:26:52,025 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-07 23:26:52,025 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_07_2025_23_21_30\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911486622409977, precision_score=0.9881668672282391, recall_score=0.9941485068603713), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9735973597359736, precision_score=0.9648405560098119, recall_score=0.9825145711906744))
[ 2025-03-07 23:26:52,031 ] 42 root - INFO - Model Training artifact created
